GeneID	GSM4053401	GSM4053402	GSM4053403	GSM4053404	GSM4053405	GSM4053406	GSM4053407	GSM4053408	GSM4053409	GSM4053410	GSM4053411	GSM4053412
105370000	0	0	0	0	0	0	0	0	0	0	0	0
105369999	0	0	0	0	0	0	0	0	0	0	0	0
107984437	0	0	0	0	0	0	0	0	0	0	0	0
102723639	0	0	0	0	0	0	0	0	0	0	0	0
105370003	0	0	0	0	0	0	0	0	0	0	0	0
105370002	0	0	0	0	0	0	0	0	0	0	0	0
105370004	0	0	0	0	0	0	0	0	0	0	0	0
23389	6791	8462	11930	10222	5594	12751	16696	12614	13769	16208	15741	7259
693205	0	0	0	0	0	0	0	0	0	0	0	0
107984438	2	5	9	10	4	11	9	27	23	15	26	1
105370005	0	0	0	0	0	0	0	0	0	0	0	0
100616309	0	0	0	0	0	0	0	0	0	0	0	0
105370007	0	0	0	0	0	0	0	0	0	0	0	0
105370008	0	0	0	0	0	0	0	0	0	0	0	0
107984439	0	0	0	0	0	0	0	0	0	0	0	0
100287569	0	3	0	2	0	1	5	2	1	0	0	0
643246	41	111	141	34	48	81	104	67	92	243	143	113
79794	141	318	232	190	205	421	338	372	104	106	302	328
84900	27	37	52	90	39	131	207	52	48	38	19	13
8739	0	0	0	0	0	0	0	0	0	0	0	0
26259	383	359	448	293	319	504	476	223	407	355	386	336
100506551	26	16	22	28	13	36	37	16	11	11	33	4
54997	55	147	443	531	575	3285	724	41	64	110	47	62
101928244	0	0	0	0	0	0	0	0	0	0	0	0
105370010	0	0	0	1	0	0	0	0	0	0	0	0
23014	294	484	722	489	370	863	883	462	682	655	754	304
4842	0	0	9	60	4	16	2	377	1523	547	283	80
283455	12	131	134	4	28	52	23	130	109	5	176	156
105370012	0	0	0	0	0	0	0	0	0	0	0	0
105370011	0	0	0	0	0	0	0	0	0	0	0	0
5985	354	400	341	224	177	300	648	191	160	137	148	255
55884	747	1166	1387	1168	1155	2408	1654	2451	1895	2085	2051	1761
54621	585	369	700	517	599	689	799	1060	471	257	1058	1040
101928274	1	0	0	0	0	0	0	0	0	0	1	5
5037	2391	2161	5028	2841	2386	7042	4091	2837	4789	7608	3586	2181
51347	900	1488	1231	911	943	1514	1639	1590	1351	1152	1697	1086
64426	445	392	590	425	509	1175	873	558	813	476	893	355
105370013	0	0	0	0	0	0	0	0	0	0	0	0
105370014	0	0	0	0	0	0	0	0	0	0	0	0
105370015	0	0	0	0	0	0	0	0	0	0	0	0
105370017	0	0	0	0	0	0	0	0	0	0	0	0
107984472	0	0	0	0	0	0	0	0	0	0	0	0
105370016	0	0	0	0	0	0	0	0	0	0	0	0
105370018	0	0	0	0	0	0	0	0	0	0	0	0
105370019	0	0	0	0	0	0	0	0	0	0	0	0
105370020	0	0	0	0	0	0	0	0	0	0	0	0
84530	0	0	2	0	0	1	2	12	11	2	0	0
105370022	0	0	0	0	0	0	0	0	0	0	0	0
105370021	0	0	0	0	0	1	0	1	5	0	0	0
112268101	0	0	0	0	0	0	0	0	0	0	0	0
105370024	0	0	0	0	0	0	0	0	0	0	0	0
26353	15	129	142	852	13	227	43	6958	13612	9905	6050	786
107984440	0	0	0	1	0	0	0	0	1	0	0	0
105370026	0	0	0	0	0	0	0	0	9	0	8	0
105370025	0	0	0	0	0	0	0	0	0	0	1	0
144742	0	0	0	0	0	0	0	0	3	0	0	0
160777	3	16	30	1	16	21	9	17	14	2	13	17
105370027	6	4	5	3	4	20	8	14	4	4	9	7
387890	0	0	3	0	0	2	0	10	11	56	1	5
5564	850	651	1039	369	839	1409	1791	934	645	304	1211	778
11113	1311	1245	1332	1313	880	1833	2222	465	658	209	420	602
100302274	22	23	20	16	9	33	39	7	14	5	9	8
112268087	0	0	0	0	0	0	0	0	0	0	0	0
92558	275	172	162	297	288	511	167	136	78	8	119	130
11021	666	973	942	857	507	1268	1348	895	948	742	1307	758
10985	4757	7933	6056	4784	3897	7712	7158	3985	4379	5961	4391	4786
100616179	0	0	0	0	0	0	0	0	0	0	0	0
6175	24657	45004	50479	25028	31866	50315	42821	23442	18227	20378	19932	29593
100506649	203	328	200	163	143	299	292	304	268	279	376	375
5829	2121	4621	2797	1517	1645	3419	3401	3583	2528	2585	4011	3535
23409	13	2	14	5	16	10	27	7	38	59	3	16
26834	5	0	4	1	2	2	7	0	2	0	0	4
26835	2	0	3	1	1	3	8	0	0	0	0	3
5319	1	5	5	0	5	1	0	3	0	2	0	0
4440	33	7	253	3	26	11	349	42	72	10	64	25
1337	7621	5529	9468	4955	5081	10587	16844	12671	6428	3835	8005	10858
